id,party_id,ideology,news-freq,dis-freq,polarization,party
853,rep,3,2.488888889,2.777777778,2.5,4
1054,ind,3,3.922222222,3.748222222,5,3
347,dem,2,2.483333333,2.740666667,1.5,2
273,rep,5,1.111111111,2.081555556,4.5,4
203,dem,2,2.622222222,1.333333333,5.5,2
885,ind,4,1.538888889,1.407333333,6,3
560,rep,4,1.505555556,1.185111111,1.5,4
45,rep,2,1.766666667,2,0.5,4
1219,dem,2,1.055555556,1.814888889,1,2
210,ind,3,1.527777778,1.888888889,0,3
307,dem,1,1.727777778,1.333333333,7.5,1
581,ind,2,1.838888889,1.592444444,9,3
268,ind,4,1.411111111,1.296444444,9.5,3
850,rep,4,2.688888889,2.629555556,9.5,4
143,ind,3,2.683333333,3.370444444,1,3
976,rep,5,2.716666667,2.777777778,5.5,5
1137,rep,5,1.661111111,1.592444444,8,5
1326,dem,2,2.657111111,1.696222222,8.5,2
332,rep,4,1.666666667,1.074,9.5,5
616,dem,2,1.872222222,2.111111111,8,2
346,rep,2,2.722222222,3.185111111,2.5,4
23,dem,2,2.25,3.259333333,8,2
163,rep,4,1.588888889,1.222222222,10,4
1291,rep,4,1.638888889,1.037111111,10,5
706,ind,2,1.988888889,1.666666667,5,3
1235,rep,4,3.088888889,4.036888889,8,4
802,dem,2,1.972222222,2.259333333,4.5,2
330,dem,3,2.15,1,9,2
311,rep,3,1.477777778,1.037111111,0.5,4
1258,dem,3,3.385777778,1,0,2
495,dem,3,2.011111111,2.074,7,2
271,dem,2,1.738888889,1.259333333,10,2
236,dem,2,1.172222222,1.222222222,4,2
415,ind,2,2.127777778,2.259111111,0,3
1218,ind,4,2.777777778,2.111111111,1,3
599,ind,2,2.45,1.926,6,3
1133,dem,1,3.227777778,2.222222222,10,1
928,rep,4,2.416666667,1.481555556,5.5,4
224,dem,5,1.5,2.888888889,10,1
124,ind,4,1.622222222,1.333333333,2.5,3
1012,dem,1,2.2,2.296222222,5,2
1254,ind,2,2.994444444,3.222222222,0,3
703,rep,4,3.677777778,2.296222222,2.5,4
1280,dem,4,1.644444444,1.296444444,0.5,2
936,rep,3,2.922222222,2.666666667,3.5,4
873,ind,3,3.405555556,3.555555556,6.5,3
1211,dem,3,4.450666667,3.629555556,4,2
1123,rep,4,1.972222222,2.777777778,10,4
411,ind,3,1.65,1.148222222,2.5,3
1073,dem,1,2.194444444,2.740666667,8.5,2
1175,dem,2,1.983333333,3.407555556,0.5,2
1018,rep,4,4.066666667,3.666666667,9,4
764,ind,2,2.354666667,2.155555556,0.5,3
399,rep,4,2.072222222,2,4.5,4
1171,ind,4,1.833333333,1.592666667,0,3
1169,dem,2,2.816666667,1.740666667,9.5,2
183,dem,2,1.254,1.296222222,5,2
848,rep,4,1.194444444,2.629777778,2,4
342,ind,3,2.311111111,2.111111111,4.5,3
1009,dem,1,1.977777778,2.740666667,8.5,1
1305,rep,4,2.85,1,8,4
987,rep,3,4.083333333,3.518666667,3,5
698,dem,1,3.288888889,1.185111111,10,1
33,dem,2,2.261111111,2.666666667,8,2
552,ind,4,1.9,1.333333333,4,3
1079,dem,1,2.95,2.592666667,10,1
927,dem,1,2.383333333,2.037111111,5.5,1
388,dem,3,2.083333333,1.444444444,10,1
1080,ind,3,2.327777778,1.852,2.5,3
1267,ind,2,1.888888889,1.703777778,7,3
341,dem,3,1.7,1.481555556,5.5,2
799,rep,4,1.983333333,1.666666667,6.5,4
677,dem,2,1.361111111,1.488888889,8.5,2
104,ind,3,1.711111111,1.333333333,3,3
1115,dem,4,2.716666667,3.555555556,4,2
505,dem,2,1.883333333,1.370444444,6,1
400,rep,2,2.705555556,3.037111111,4.5,4
1101,rep,4,1.35,2.148222222,1.5,4
465,rep,4,1.738888889,1.333333333,2,4
1325,ind,5,1.722222222,3.333333333,7,3
1075,rep,3,3.472222222,3.666666667,0.5,4
983,rep,4,3.694444444,2.185111111,0,4
871,ind,3,2.388888889,2.333333333,1.5,3
148,dem,2,1.727777778,1.185111111,8,2
654,dem,2,2.366666667,2.037111111,5.5,2
1071,dem,2,3.511111111,3.370222222,1,2
663,ind,3,1.594444444,1.518444444,0,3
491,rep,4,2.155555556,1.296222222,10,4
841,rep,5,1.533333333,3.148222222,10,4
952,dem,3,2.077777778,2.333333333,8,1
295,dem,3,2.033333333,1.259333333,6.5,2
172,dem,2,1.854888889,1.370444444,10,1
244,dem,2,1.544444444,1.074,7.5,2
112,ind,3,2.377777778,1.259333333,0,3
18,dem,2,2.505555556,1,1,2
1145,ind,1,2.479333333,2.185333333,2.5,3
657,ind,4,1.472222222,1.444444444,3.5,3
1084,ind,2,1.211111111,1.518444444,3,3
729,dem,4,1.746888889,1,1,2
1194,ind,3,3.05,3.111111111,5,3
923,ind,2,2.405555556,1.962888889,4,3
1072,dem,1,2.455555556,1.926,8,2
1270,rep,3,1.666666667,2.074,0.5,4
889,rep,4,1.788888889,1.740666667,7,4
1336,rep,4,1.611111111,1.740666667,4,4
